dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,1,2,8,4,1614,407,3.965602,94,0.230958,0.4957
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,1,2,8,8,1614,205,7.873171,2,0.009756,0.984146
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,1,2,8,4,1614,407,3.965602,3,0.007371,0.4957
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,1,2,8,8,1614,205,7.873171,2,0.009756,0.984146
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,2,2,8,4,1614,408,3.955882,94,0.230392,0.494485
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,2,2,8,8,1614,207,7.797101,3,0.014493,0.974638
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,2,2,8,4,1614,408,3.955882,5,0.012255,0.494485
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,2,2,8,8,1614,207,7.797101,3,0.014493,0.974638
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,3,2,8,4,1614,409,3.94621,94,0.229829,0.493276
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,3,2,8,8,1614,209,7.722488,4,0.019139,0.965311
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,3,2,8,4,1614,409,3.94621,7,0.017115,0.493276
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,3,2,8,8,1614,209,7.722488,4,0.019139,0.965311
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,4,2,8,4,1614,410,3.936585,95,0.231707,0.492073
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,asap,next_cycle,8,4,2,8,8,1614,211,7.649289,5,0.023697,0.956161
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,4,2,8,4,1614,410,3.936585,7,0.017073,0.492073
QAOA_H6_Q36_s0_shifted,shifted,QAOA,6,36,0,2,76,2,ff_rate_matched,next_cycle,8,4,2,8,8,1614,211,7.649289,5,0.023697,0.956161
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,asap,next_cycle,8,1,2,8,4,1596,402,3.970149,86,0.21393,0.496269
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,asap,next_cycle,8,1,2,8,8,1596,203,7.862069,2,0.009852,0.982759
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,ff_rate_matched,next_cycle,8,1,2,8,4,1596,402,3.970149,3,0.007463,0.496269
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,ff_rate_matched,next_cycle,8,1,2,8,8,1596,203,7.862069,2,0.009852,0.982759
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,asap,next_cycle,8,2,2,8,4,1596,403,3.960298,87,0.215881,0.495037
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,asap,next_cycle,8,2,2,8,8,1596,205,7.785366,3,0.014634,0.973171
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,ff_rate_matched,next_cycle,8,2,2,8,4,1596,403,3.960298,5,0.012407,0.495037
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,ff_rate_matched,next_cycle,8,2,2,8,8,1596,205,7.785366,3,0.014634,0.973171
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,asap,next_cycle,8,3,2,8,4,1596,404,3.950495,87,0.215347,0.493812
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,asap,next_cycle,8,3,2,8,8,1596,207,7.710145,4,0.019324,0.963768
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,ff_rate_matched,next_cycle,8,3,2,8,4,1596,404,3.950495,6,0.014851,0.493812
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,ff_rate_matched,next_cycle,8,3,2,8,8,1596,207,7.710145,4,0.019324,0.963768
QAOA_H6_Q36_s1_shifted,shifted,QAOA,6,36,1,2,73,2,asap,next_cycle,8,4,2,8,4,1596,405,3.940741,87,0.214815,0.492593
